"default","student","balance","income"
"No","No",1322.81096388371,48016.6173357397
"No","No",1043.37439662006,28079.2626836385
"No","No",1475.51848523651,48653.6837529258
"No","No",812.083886904557,41821.2997786732
"No","Yes",287.792362307828,13060.0085705572
"No","No",775.309789469854,38721.2458944943
"No","No",344.624077138957,43246.5779895621
"No","Yes",372.430810388496,17243.0493024185
"No","Yes",2088.52910874916,18078.3291678441
"No","No",946.398166907214,30770.0667301801
"No","No",675.376726291362,36921.5759561219
"No","No",1012.76845381661,36406.2410883707
"No","Yes",1011.93720941388,18509.2971336598
"No","No",452.372650854573,59429.1231408102
"No","No",1092.49125891644,30654.685256551
"No","No",71.5776897613994,61588.2545022497
"No","No",1319.04171817484,57768.899984811
"No","No",266.277758688327,41204.2949910119
"No","No",370.963648959728,25321.3528225484
"No","No",848.724426358956,41585.9525525882
"No","No",507.396131594456,35353.4055306309
"No","Yes",267.32782909653,19698.7138804734
"No","No",420.899331867238,39764.7024313117
"No","No",129.596448519056,52169.2315710792
"No","No",327.240437287516,40061.6245140304
"No","No",678.07110557078,63791.8242046779
"No","Yes",199.127092682206,19913.602502446
"No","No",1215.6982445086,33598.9707553906
"No","No",460.681505823092,37129.2708182323
"No","Yes",1300.72043313613,9266.52973132816
"No","No",534.568707980078,37281.0402106883
"No","No",1308.52917152034,57190.8748728432
"No","No",507.065032012892,42753.1919155811
"No","No",197.327265397348,24562.119655863
"No","Yes",819.834292040018,16412.9970215885
"No","No",0,57003.5937659082
"No","No",1489.78033181431,30296.6104370113
"No","No",581.520818602129,53100.5724783833
"No","Yes",286.291564637705,19553.6356059805
"No","No",371.865220141344,45949.9142067639
"No","Yes",992.780221091888,16585.3242820471
"No","Yes",758.13852355797,23758.5776345545
"No","No",1174.19490858526,35533.4845189991
"No","Yes",1196.09826443678,23851.2213915256
"No","No",613.231402434956,34664.5713252985
"No","No",968.972340284544,33763.1902797405
"No","Yes",1151.29871640683,14384.7670811016
"No","No",848.702739852829,35192.8388667608
"No","Yes",989.090770148173,20262.0219405694
"No","No",92.7406629973356,40722.5906489062
"No","No",1654.93417536157,33179.7839229244
"No","No",212.497928709852,53619.4757063793
"No","No",73.8932348303483,44308.9054028973
"No","No",692.15523399331,37592.2608516004
"No","No",957.583962212343,40315.7728375368
"No","No",69.023877541276,41566.5820708201
"No","No",1394.12544339822,42921.017077944
"No","No",1317.86646809989,36610.8861107082
"No","No",602.096395581271,53553.7224709536
"No","No",430.11822118801,41105.2876346529
"No","No",211.983028197665,33448.2447835816
"No","No",544.143145637753,33861.5539040239
"No","Yes",943.843064280149,16701.7830932761
"Yes","No",1412.19244842734,37283.0081014143
"No","No",1416.44476989919,33099.4968843458
"No","No",193.283164669805,37376.6497130654
"No","No",857.23644841428,67124.0570892684
"No","No",1132.07848219228,29715.3049436
"No","No",1489.3570273597,37758.4128863958
"No","No",1527.35932473709,33923.5287652524
"No","Yes",1427.04938367718,18268.5268315544
"No","No",964.863037287274,43744.9833544683
"No","No",326.15092990097,32919.9710526922
"No","No",866.299668540652,65931.951109459
"No","No",626.160154224477,34007.9083467236
"No","No",836.192864603416,43275.1452255696
"No","No",826.558020541498,44371.747340566
"No","No",102.122522558306,33300.1875216945
"No","No",1609.29703093561,52752.9684251831
"No","Yes",140.455621890314,11179.4978592832
"No","No",1147.98069460388,20766.3950725174
"No","No",855.292565736026,35749.0327861947
"No","No",1682.20185616143,36366.9912912394
"No","No",689.820773571356,30304.7803009091
"No","No",1706.04630524722,32900.7114384092
"No","No",479.521909132235,43743.6223126641
"No","Yes",765.363356845999,11976.408494525
"No","No",894.329102865568,45250.7303099136
"No","No",993.647092771748,26768.9566762714
"No","Yes",378.49251967355,18659.7721270352
"No","Yes",576.065007536312,13536.6090365199
"Yes","Yes",2113.62976138136,21100.7217870678
"No","No",542.6962061198,40996.2123286467
"No","Yes",493.629546126545,20500.2126317106
"No","No",0,29322.6313944581
"No","No",1185.5812526407,47782.4971306183
"No","Yes",1719.87111940058,22431.8580010025
"No","No",495.750069071721,44361.3911905098
"No","No",533.894154434264,33785.7461367448
"No","No",150.142705477658,38610.3773141685
"No","Yes",1298.90149315481,14975.264926979
"No","No",957.238959913911,57698.4082232021
"No","No",836.933291572557,51031.9398320695
"No","Yes",1400.70282406811,23083.2601589174
"No","No",857.329141983597,25742.1737665286
"No","No",876.765555277728,49291.1665644759
"No","No",979.316714853783,27534.9121409756
"No","Yes",491.704320814421,8352.20898846706
"No","No",1621.7116428388,37970.4740221371
"No","No",643.61550941031,44251.0158829684
"No","Yes",343.798638052777,19971.7762095045
"Yes","No",1711.16909322993,18579.1024704064
"No","No",1170.02740630312,33332.6257830801
"No","Yes",638.204399721592,14641.383733897
"No","Yes",1457.83941086875,18496.9320583648
"No","No",383.860154972825,31749.6784240199
"No","No",618.031682935868,44419.5476702595
"No","No",565.218299871113,29015.7240563929
"No","No",290.145958733314,32862.5552897116
"No","Yes",576.944278840372,22800.8670501164
"No","No",633.127115560167,54034.3550059018
"No","Yes",1350.62900231003,11854.9844393708
"No","Yes",893.558271644587,23033.8122137051
"No","Yes",895.318965804225,20869.355939084
"No","No",1470.57249106757,44490.321073276
"No","No",789.256511246828,43835.3402744718
"No","No",218.769004560376,52074.6627185221
"No","Yes",531.693802744842,15794.5816061376
"No","Yes",1268.53785480677,21336.8901013062
"No","No",0,34040.3129149758
"No","No",1046.56286488318,26555.4889385252
"No","No",389.992175159101,29032.1126978627
"No","No",642.234627903716,35800.0838167837
"No","No",391.989952172087,35012.8696092424
"No","No",1483.68901084985,58310.5123479193
"No","Yes",438.57477088502,17439.1149542308
"No","No",897.861693678463,47557.5240974682
"No","No",0,41693.3858354334
"No","Yes",776.639070176992,15338.8886029457
"No","No",112.470708913449,34320.0261502942
"No","No",634.477775997833,56726.1200096328
"No","No",791.94749610165,47886.5232680271
"No","No",1088.28530583846,43134.5314123793
"No","Yes",2018.35853570806,15472.8495805739
"No","No",1470.6352731309,40080.214746584
"No","Yes",611.208896633182,19733.2518009617
"No","No",1117.08002839593,42388.4155540623
"No","No",1589.99091896711,42268.2798533658
"No","No",0,57898.4151586563
"No","No",636.238668216172,39172.3633653161
"No","Yes",714.397171134248,17412.7179760367
"No","Yes",946.779603881376,12881.4021094055
"No","No",108.056775837302,41840.3258124129
"No","No",816.888352751253,52492.3459447917
"No","No",5.88381627957153,45840.4724566522
"No","No",761.75063431318,13889.1325349332
"No","Yes",1173.7813429519,15823.8054768027
"No","No",1418.47537255722,38034.1444323705
"No","Yes",864.357126766229,10484.7705038946
"No","Yes",1101.16009199422,14307.0010845492
"No","No",0,46615.6980277052
"No","No",0,43782.2558593837
"No","No",582.317221802386,29239.8460732045
"No","No",369.050487595412,38418.8665205537
"No","No",966.051877458136,10174.7298015834
"No","No",399.445615081295,54329.9229320772
"No","No",51.8884865930952,41839.1733870635
"No","No",460.879415522297,40046.0293272785
"No","No",1139.0127276922,36958.5780108845
"No","No",707.573102936183,48790.4022479433
"No","Yes",1034.60315139143,18614.037496336
"No","No",118.869800099736,42823.5719634177
"No","Yes",461.004340791417,15554.0297650627
"No","No",1057.27499998475,42731.876409648
"No","No",1035.48588062782,41714.3737690575
"No","No",1010.27951299617,34188.9846488206
"No","No",0,41199.7993550432
"No","No",656.023725381919,36349.436988707
"No","No",539.137500807565,23561.4305215043
"No","No",1377.46206134276,49406.072701575
"No","Yes",1322.14599591033,21272.5759430238
"No","Yes",1393.58949068025,23261.8632426465
"No","No",1324.0139835537,45114.740311117
"No","No",1020.52955729319,35652.6634579727
"No","No",2033.54023491605,41629.2372883968
"No","No",888.642912599117,19942.6028703941
"No","No",1350.1162674817,39555.962310795
"Yes","Yes",1936.06186248878,13377.8288411616
"No","Yes",1406.91736397007,16427.1007755423
"No","No",282.838124549013,29478.1380100909
"No","No",601.082571361275,25319.3660998709
"No","Yes",1639.42660841751,14682.7766583761
"No","Yes",48.528095875895,16647.3061614762
"No","No",324.504531784576,51139.8768545561
"No","Yes",886.401507936787,13995.8895892463
"No","No",967.441573778468,51674.4193685904
"No","No",711.737607680277,45419.8819421071
"No","No",1547.8807897846,50638.3395897593
"No","Yes",1200.59444464954,13772.9891155444
"No","No",0,45201.1287123812
"No","No",1454.98158871843,43821.2213471973
"No","No",355.442338612803,46147.517874115
"No","No",0,46927.7844526087
"No","No",0,49784.3363547474
"No","No",282.865313074855,39961.0398249001
"No","No",303.7151176961,29048.0352380344
"No","No",157.763001571446,36206.2856905703
"No","No",300.000466508024,41189.4522010561
"No","No",463.982072534495,43330.5524368375
"No","No",1654.23495626913,39580.1297092869
"No","No",762.57449743267,45526.8947859781
"No","Yes",1887.88171576879,21901.1824969382
"No","No",1206.26349180131,34621.7733090617
"No","Yes",247.653103614015,20444.7524326315
"No","No",576.796119948856,39209.8328678459
"No","Yes",1214.40830614039,18055.2384673481
"No","No",987.745528266879,40243.6200175724
"No","Yes",1257.01612997428,19247.9006122535
"No","No",524.085618869391,40319.1181371203
"No","Yes",1236.20709180902,23364.0486787434
"No","No",1008.67500060109,68610.4120555314
"No","Yes",1474.77960459732,17382.4673857923
"No","No",772.375314624076,36997.3367352005
"No","No",701.552593711794,39526.5771906576
"No","No",0,28798.0399729688
"No","Yes",1165.89551137885,14969.287247901
"No","No",0,28226.557953656
"No","No",1429.22104820795,40564.8863059473
"No","Yes",806.669235669924,17359.6747587048
"No","No",528.089315636181,46389.3406847376
"No","No",963.428148153574,60084.1264776155
"No","Yes",764.527166698458,22578.6356703964
"No","No",573.699136954666,49465.7548491151
"No","No",1410.36924005266,62395.0381452745
"No","No",816.741027053221,47272.3336067607
"No","Yes",1220.52491385296,12195.3619458105
"No","No",245.438753254707,54133.0383062382
"No","Yes",1083.91128186265,8584.07757718566
"No","No",485.348806539971,14676.2955127899
"No","No",677.758794018199,50309.0647156314
"No","No",286.660874697687,34499.5326305991
"No","Yes",843.920206689305,20754.0241650763
"No","No",831.836619855653,41247.6422019852
"No","No",1024.32637691556,33832.4896292671
"No","No",1277.12309805961,42472.9082664883
"No","Yes",1221.94391099058,19127.3502338688
"No","No",967.249281733551,27663.1340686837
"No","Yes",1556.90441828681,19272.2364832438
"No","Yes",419.729554950423,24679.7314674036
"No","No",276.164884319754,53625.7140947421
"No","Yes",1407.49727226474,14688.3889037995
"No","No",1041.08802327575,39515.8430210841
"No","No",182.325444181601,39703.2688512737
"No","No",162.218486671005,41381.2707079487
"No","No",405.273980579651,52571.1841278696
"No","No",887.158361413145,51519.1264793758
"Yes","No",1844.88383884583,35508.6754221796
"No","No",792.981525937216,37549.9499998242
"No","Yes",942.140104921355,23835.3854718109
"No","No",938.785896813178,14524.3576239936
"No","No",18.904202687713,35590.2325848995
"No","Yes",599.470983151448,18575.4084167931
"No","Yes",679.809546964661,19263.1233225777
"No","No",601.26329258483,24400.0962522342
"No","No",132.081039256955,51694.7395595321
"No","No",743.032968860053,25186.4259047665
"No","No",728.186897542766,52515.067548616
"No","No",467.24756371474,33644.2578423146
"No","Yes",1104.93334843928,17377.4981465423
"No","Yes",310.198181760548,14672.9256971296
"No","No",1575.71270470809,45957.2447176986
"No","Yes",1370.24893741273,13358.27420233
"No","No",1593.43280272516,73554.2334951972
"No","No",463.002217743353,42297.457797763
"No","Yes",786.106023872725,20954.4515707624
"No","Yes",731.511801077057,26505.3445248465
"No","Yes",468.273219312504,27054.8938154627
"No","No",219.145709509397,37993.0436785143
"No","Yes",846.959069993446,20659.8532659399
"No","No",702.15926284292,57468.4044412075
"No","Yes",1381.64443433899,11059.5680660885
"No","No",1455.50583675848,33455.0496944581
"No","No",1357.90971764829,43377.1121805759
"No","No",1032.62707913177,23349.8301266316
"No","No",798.85963667668,48336.1293083261
"No","Yes",117.903081769161,14649.8580553618
"No","No",234.743603957668,27499.9536219838
"No","No",890.266872175803,36631.498422027
"No","Yes",518.478839254005,18635.5097072673
"No","No",1124.49595976431,31739.563746405
"No","No",1468.78805535161,38521.8701999955
"No","No",938.106178830587,13405.2109419603
"No","No",722.029162469719,26984.2562874375
"No","No",610.641708045754,42899.8481269583
"No","No",407.771300691402,18555.3235405547
"No","No",1057.22881723348,58133.5278357482
"No","No",1262.40451593839,57158.7550202353
"No","Yes",1082.67454484205,22417.5561475327
"Yes","No",1969.94292393429,29415.7532920711
"No","No",760.099642771661,45921.3431313597
"No","No",929.396254308671,23133.6598112204
"No","No",1177.2495984995,35419.6103097622
"No","No",309.27068081804,42226.65131333
"No","No",981.943933832087,38483.5318863506
"No","No",200.162803965695,24280.1301574474
"No","No",1630.48300985988,54323.4228868628
"No","No",947.235416304317,28310.4937788445
"No","No",537.396354192918,40828.140116245
"No","Yes",1292.56878393393,14859.2400849317
"No","No",356.827645393509,39444.8253488201
"No","No",500.155117007218,34437.7068935173
"No","No",1345.70698005887,40802.8865154653
"No","Yes",1091.13975599585,19990.8353295959
"No","No",1025.52762476694,22741.3913036463
"No","No",403.240024857581,42993.4364142112
"No","No",699.342672690461,36957.6805692933
"No","No",1445.80516373713,15666.0574301554
"No","Yes",963.899257788196,16561.255635469
"No","No",542.765601644382,52625.4157104306
"No","No",766.929094869356,25376.1037623839
"No","No",808.429127594511,29212.9047289716
"No","No",736.536729918891,46416.1829197087
"No","No",1076.13982317578,31845.9515280532
"No","Yes",731.314859465698,11510.1514733817
"No","No",236.003705939958,38202.5138392406
"No","No",1382.4549524961,40394.3086001964
"No","Yes",915.571546852198,22586.3382776513
"No","No",176.596945808558,48957.7563824849
"No","Yes",639.99962630239,19900.0064038998
"No","Yes",950.678008585236,20435.8178098611
"No","No",1320.71111520739,29105.4424418385
"No","Yes",1203.02939896646,15952.4520239732
"No","No",1335.93525388814,19482.2062817827
"Yes","Yes",1647.28224769539,16154.4622803728
"No","Yes",1434.38646448511,15761.6996158335
"No","No",307.476238460687,36120.9685897979
"No","Yes",1277.89489991076,20649.9299868452
"No","No",998.393069937923,46051.9228596918
"No","No",561.343258988322,44403.9942871378
"No","Yes",1577.08358059243,15230.8206004836
"No","Yes",412.071444309261,12588.9711331098
"Yes","Yes",1758.40657080375,14272.2737755857
"No","Yes",251.468193783358,19373.8880179322
"No","No",1353.13173451443,40164.0485885543
"No","No",10.1944566929947,32641.9325638431
"No","No",933.554734219053,33633.1486889292
"No","Yes",1692.75253804708,23743.8419510997
"No","No",663.250479154119,36276.8639525225
"No","No",51.5304014162657,36851.9128724154
"No","No",797.742647053305,53398.9285871911
"No","No",0,50243.9311704645
"No","No",1217.07276191295,62764.0976635433
"No","No",0,44980.2930390375
"No","No",741.844666024469,45808.5402807401
"No","No",455.184490479099,43513.3506271492
"No","Yes",1788.14082161796,26228.7104423056
"No","No",1253.77341200631,28153.0140567459
"No","No",918.09337371899,44112.8101652491
"No","No",0,30241.9485766869
"No","Yes",699.173401299605,17572.8310644687
"No","No",171.996376988763,33505.4934304586
"No","No",1326.34885429976,46587.0802885257
"No","No",1275.49530305434,40026.2859538126
"Yes","Yes",2247.42188932705,17926.7230141293
"No","No",993.77211910269,52645.6630948018
"No","No",997.379504092706,34824.848061927
"No","Yes",652.372669135781,12139.0571198897
"No","No",1124.88618865227,41989.0341969489
"No","No",1608.81844748478,36721.1034831342
"No","Yes",776.606472977211,4755.25219033558
"No","No",845.020724913514,33895.2378498713
"No","No",570.054698668476,42157.8077120892
"No","No",186.438134380559,13325.1213335376
"No","No",0,48672.9560136099
"No","No",1429.48871595734,31995.4879988516
"No","No",295.056674121521,39479.7516839202
"No","No",896.581276619335,54840.0578653019
"No","Yes",1562.53232379506,13754.3340702828
"No","No",889.308741715182,33036.2447896186
"No","Yes",1805.68295452897,20727.6402234923
"No","No",1334.1059277835,43704.4308597779
"No","No",527.940223666282,56820.8207444954
"No","No",1282.07694622826,52753.0765682445
"No","No",932.828729648173,48165.1802367937
"No","Yes",1850.88824722219,21575.7633259386
"No","No",455.190784198115,36488.1578499807
"No","No",748.286644782209,45626.9945465569
"No","No",874.478742268915,33485.5205119318
"No","Yes",538.706536221086,16350.3601824157
"No","No",841.85172718326,48615.0145715462
"No","No",1814.16819486658,28322.8391895754
"No","Yes",365.704408735642,15953.9756084283
"No","No",401.180757478873,39686.6759484968
"No","No",2096.13639137234,49992.5298141708
"No","No",1429.87855917136,33452.5875602965
"No","Yes",1737.34771498223,19202.7101911288
"No","No",1043.39033839845,45309.9489669253
"No","Yes",1155.45654811422,22194.4778758481
"No","Yes",931.649113036332,19179.4467878978
"No","No",146.755460850544,49925.0693858343
"No","No",1406.9476517096,27667.8360308734
"No","Yes",705.896825598943,18447.8760934385
"No","No",641.803940740381,32628.6412619614
"No","No",379.603563484232,42862.4888881861
"No","No",706.22679193318,33920.4569663211
"No","No",577.131996919527,43616.0962322882
"No","No",90.99981606327,52387.591991635
"No","No",549.39904175625,48424.4043821238
"Yes","Yes",1102.43498209896,17391.779646823
"No","Yes",1228.33879593452,18129.6940624009
"No","Yes",974.014384870528,20108.1035841497
"No","No",263.656061763757,50782.8322029761
"No","No",847.069147369421,35581.2901156659
"No","No",835.191809113554,39977.1314704097
"No","No",757.907711197946,37088.8395732868
"No","Yes",1013.66576572018,13821.0900819589
"No","Yes",643.577000917672,28765.910525223
"No","Yes",757.272763497851,18876.0891573188
"No","No",1248.27894291764,41100.6261742015
"No","No",699.285850186167,41475.9820952634
"No","No",866.402631163086,18586.7271653018
"No","No",697.666382564536,35402.2679567815
"No","No",899.096892824399,39630.6387900137
"No","No",674.204629620179,46481.9526798699
"No","No",902.92395856054,33778.4032313443
"No","No",1591.75580588687,46259.6599752908
"No","No",484.217358639711,30178.5752399951
"No","No",751.68728655516,51327.3172739106
"No","No",604.194947116334,38292.7690977453
"No","No",640.633469892213,46075.4150579683
"No","Yes",782.445165134074,23447.2133813526
"No","No",1026.95519673516,40307.0110217945
"No","Yes",862.902253834498,16157.8665298407
"No","Yes",780.512125824943,14813.3415822723
"No","No",878.009385167249,15262.9351149015
"No","No",481.862028269873,32928.2390042737
"No","Yes",1579.99003223015,13274.7315023903
"No","No",1.67402590271342,23001.6670760201
"No","No",514.849025301181,37656.8478724252
"No","No",2087.67874085049,44997.3643500816
"No","Yes",973.514710211862,20770.4840331544
"No","No",528.872496895311,45235.4971935422
"No","No",1131.41243362462,37663.2268693235
"No","No",955.343370548383,40368.5978855312
"No","No",759.032260453678,45774.3835405276
"No","No",1023.85241371526,31492.9983652979
"No","No",1096.07775578352,30374.8347206174
"No","No",829.32969070991,48734.1661690429
"No","No",792.356871704534,39911.4272279602
"No","No",882.264534452783,18379.5148607438
"No","Yes",733.847089936321,16400.1283445279
"No","No",553.519436208433,45385.3113268622
"No","Yes",822.959594920215,8918.70253904663
"No","No",493.95999044986,34621.7576420746
"No","No",88.2540567051822,43927.315885611
"No","No",0,45077.5745780792
"No","No",611.825734885616,21716.5343596837
"No","Yes",1096.69213583028,20856.5876398187
"No","No",191.611070550308,35119.5813835898
"No","No",447.958161182748,54044.8231061654
"No","No",1149.68918788583,39974.5630184873
"No","Yes",463.300004723583,16416.6127293146
"No","No",1347.63559514332,58953.0926684651
"No","Yes",0,16979.8930728145
"No","No",643.010847393226,27735.1582360746
"No","Yes",365.222955835046,15375.1517219432
"No","No",289.681569442895,45991.0443210763
"No","No",578.290656572117,48044.3844904488
"No","No",1186.93272905935,51742.5764367357
"No","No",426.007283754863,50874.5651795002
"No","No",1115.73877693947,48125.6467552087
"No","Yes",932.695814190911,18743.3137407493
"No","Yes",1048.48759625782,22935.5954509348
"No","No",768.372947015316,44405.3087453
"No","No",785.494708435686,50683.1541835067
"No","Yes",865.205866068633,22081.5816392531
"Yes","No",1801.80118346806,24152.264834226
"No","No",950.341274781584,64396.1653447148
"No","No",787.042934912837,46266.9414512335
"No","No",982.839988770985,32419.665047656
"No","No",1175.38957718705,35339.556671872
"No","Yes",887.284872180981,13132.901347241
"No","No",801.994436947096,46439.0035534273
"No","No",1096.24673322037,42685.1072902999
"No","No",628.855331566381,40490.4260532201
"No","Yes",567.722580913533,14892.3244451469
"No","Yes",843.008786630283,22037.4704117827
"No","Yes",1217.30987516687,10520.0430746812
"No","No",0,10593.9212460847
"No","No",1186.77795118128,38581.9278558539
"No","No",439.043893107684,40148.108054317
"No","Yes",778.999353313474,10489.5735268384
"No","Yes",742.549323468977,24505.0193460592
"No","Yes",763.337623826175,15849.8639600086
"No","No",408.116029993621,39388.3175611827
"No","No",1071.25835436445,36869.0525759518
"No","No",1373.57560129775,22182.4165874166
"No","No",52.9180891783735,30506.358853652
"No","Yes",1140.45436292959,18991.886035461
"No","No",1162.29922732475,47513.124771207
"No","Yes",1528.49437007321,22664.3493517211
"No","No",991.961167212548,49910.0968835837
"No","No",592.432321380633,32283.2641204669
"No","No",848.327608233813,30472.7179252633
"No","No",309.517982126985,35293.1935706219
"No","Yes",425.844645376775,15324.758004218
"No","Yes",1268.48611351102,19862.0444216306
"No","Yes",898.631950753244,15293.8740494594
"No","No",274.956946474187,24102.3915140994
"No","No",399.443127979133,45360.9322533118
"No","Yes",850.386406238716,6389.07056944882
"No","No",92.9000889701402,43955.8813664077
"No","No",854.023334564867,32107.3083419182
"No","No",0,29721.3418700634
"No","No",1094.81283301666,32936.0586617393
"No","No",680.164459380056,25391.6330751958
"No","No",1231.35189432337,29867.8764736882
"No","No",0,38228.2601678094
"No","No",830.046094160683,51847.1229335732
"No","No",1267.00144444768,32752.1937409219
"No","No",1623.69027195188,36747.9039783266
"No","No",302.719017710888,45260.3977308049
"No","No",439.961958832399,28215.4788428897
"No","Yes",1016.82547814025,18703.5552303283
"No","No",1421.20476385362,47423.7917724389
"No","No",479.677151780228,40995.0362099409
"No","Yes",925.896916667239,12384.2042299631
"No","Yes",1192.70215939554,21597.7516651387
"No","No",1649.91703023619,36091.3847479288
"No","No",808.999102581178,26379.8866963464
"No","No",752.056294701375,49741.4315184812
"No","No",727.190776306582,27282.1983550083
"No","No",845.607309992116,31633.0872543091
"No","No",445.661897901178,46816.105113725
"No","No",1459.04496635786,49753.8049162963
"No","Yes",988.641609584159,22085.4508197692
"No","No",796.991208463392,25159.554855822
"No","No",903.459131606741,33640.0996762864
"No","No",1163.08390408128,45488.7505586529
"No","No",1217.21052749133,33865.050577167
"No","Yes",740.228677226658,23469.3875040857
"No","No",1259.45052417311,28881.7252478321
"No","No",501.391685956458,42856.1899982353
"No","No",808.611888576478,48650.4338778726
"No","No",413.888271616934,53142.0239048614
"No","Yes",666.498230169417,11951.8987902488
"No","Yes",412.160788336474,17679.5217697791
"No","Yes",372.652495532665,22308.0412831276
"No","No",1235.0766543147,48687.5571560364
"No","No",853.246221589931,41581.195336223
"No","No",1911.66851672829,52802.0888231585
"No","No",357.969460728933,57012.5508813006
"No","Yes",698.157981667433,19582.8161575693
"No","No",918.461091220465,32468.4507371825
"Yes","No",1741.91491543247,35067.4251226861
"No","No",577.49347668941,39015.4168357708
"No","Yes",1415.68199444299,21856.3209297024
"No","Yes",1524.48683341545,15845.8712481288
"No","Yes",1171.44140128616,19213.385726928
"No","Yes",396.801484079162,26061.7642503507
"No","No",1236.15812440683,19682.7109013115
"No","No",1053.40549467371,52921.8537919159
"No","No",1207.04062486695,42171.9889675781
"No","No",528.961945199657,27065.7052750894
"No","No",662.703254958649,48652.1699429375
"No","No",517.228507618777,40248.5860722947
"No","No",938.846004261055,40914.2282285304
"Yes","No",1823.63655922363,44260.1563740071
"No","No",638.721987169513,48085.707914938
"No","No",929.022614418526,23889.6800602367
"No","Yes",282.248706317179,19809.0986748885
"No","Yes",1429.60932761342,14827.8945358154
"No","Yes",672.358163240043,24495.0376192773
"No","No",752.466763910773,39896.1093744995
"No","No",471.346126989889,30337.1411809513
"No","No",270.585758872418,44958.6312672761
